Record,Location,X,Y,Longitude,Latitude,Date,Time,Environment,Light,Road_Surface,Traffic_Control,Collision_Location,Collision_Classification,Impact_type,Pedestrian
16-1,LISGAR ST @ O'CONNOR ST,367762.18898,5031159.49277,-75.69551750470,45.41753772740,2016-01-01,2:20:00 AM,03 - Snow,07 - Dark,04 - Slush,01 - Traffic signal,01 - Functioning,03 - P.D. only,02 - Angle,0
16-2,RIVER RD btwn EARL ARMSTRONG RD & NICOLLS ISLAND RD,367635.02370,5013417.12814,-75.69939515570,45.25790674280,2016-01-01,2:33:00 AM,03 - Snow,07 - Dark,02 - Wet,10 - No control,,03 - P.D. only,07 - SMV other,0
16-3,PORTOBELLO BLVD btwn INNES RD & CHAREST WAY,385666.67093,5036750.46285,-75.46586242690,45.46599985460,2016-01-01,2:35:00 AM,03 - Snow,07 - Dark,05 - Packed snow,10 - No control,,03 - P.D. only,07 - SMV other,0
16-4,BANK ST @ RIVERSIDE DR S,369303.76468,5027894.61542,-75.67624950780,45.38802106080,2016-01-01,3:21:00 AM,03 - Snow,07 - Dark,03 - Loose snow,01 - Traffic signal,01 - Functioning,03 - P.D. only,02 - Angle,0
16-5,RUSSELL RD btwn HAIG DR & CUBA AVE,372747.99139,5029635.92353,-75.63202984440,45.40336293110,2016-01-01,12:00:00 AM,03 - Snow,00 - Unknown,03 - Loose snow,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
16-6,UPPER DWYER HILL RD btwn HAMILTON SIDE RD & MCARTON RD,338758.64780,5009104.14514,-76.06759947710,45.22108242410,2016-01-01,6:00:00 AM,01 - Clear,07 - Dark,03 - Loose snow,10 - No control,,03 - P.D. only,07 - SMV other,0
16-7,ELGIN ST btwn MACLAREN ST & GILMOUR ST,368239.01752,5031076.42499,-75.68943626140,45.41674724050,2016-01-01,9:34:00 AM,01 - Clear,01 - Daylight,04 - Slush,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
16-8,BRIAR HILL DR btwn HERON RD & GARAND PL,371450.48312,5027045.04095,-75.64895237170,45.38017591690,2016-01-01,10:14:00 AM,03 - Snow,01 - Daylight,02 - Wet,10 - No control,,03 - P.D. only,99 - Other,0
16-9,PREMIER AVE btwn COWLEY AVE & CARLETON AVE,364077.77922,5029247.51575,-75.74281970340,45.40065600810,2016-01-01,10:49:00 AM,01 - Clear,01 - Daylight,03 - Loose snow,10 - No control,,03 - P.D. only,06 - SMV unattended vehicle,0
16-10,"MONTREAL RD btwn EGLISE, RUE DE L & ST. LAURENT BLVD",371184.83716,5033646.60698,-75.65145497660,45.43959932440,2016-01-01,10:49:00 AM,01 - Clear,01 - Daylight,03 - Loose snow,10 - No control,,03 - P.D. only,05 - Turning movement,0
