Name,Start-Date,End-Date
UNISONG Choral Festival,01/07/2017,01/07/2017
Latin Sparks Festival: Encore Edition,12/08/2017,13/08/2017
JuniperTulipMarket,16/09/2017,16/09/2017
Jannat Performing Arts - Insight: A Reflective Experience ,29/07/2017,29/07/2017
University of Ottawa MFA candidates - Thesis exhibitions - Jonathan Théroux – Tour,24/08/2017,24/08/2017
Megan Jerome CD Launch,13/12/2017,13/12/2017
32nd European Union Film Festival (EUFF) ,17/11/2017,05/12/2017
The Longest Distance (Venezuela) - Latin American Film Festival,28/04/2017,28/04/2017
The Great Rectory Art Party,02/11/2017,02/11/2017
We are Survivors,22/10/2017,22/10/2017
Heritage Trades: Can You Build It?,19/05/2017,19/05/2017
Annual Fall Bazaar,04/11/2017,04/11/2017
Sitar and Sufi Singing,13/05/2018,13/05/2018
Raffi! 40 Years of Singable Songs!,01/10/2017,01/10/2017
Joshua Bell’s Christmas,20/12/2017,20/12/2017
Holiday Benefit Concert featuring Tara Shannon,08/12/2017,08/12/2017
Pie-a-Prof,10/11/2017,30/11/2017
Angela Hewitt’s Bach Odyssey,20/03/2018,20/03/2018
Masters of Relief at the Bank of Canada Museum!,28/05/2018,11/11/2018
PBLI - National Indigenous Policing Forum,02/05/2018,03/05/2018
Choir! Choir! Choir!,16/02/2019,16/02/2019
Seyekoya Nico Closing Show,29/04/2017,29/04/2017
In the Merry Month of May - Sing my Spirit,12/05/2018,12/05/2018
Ottawa Drone Day 2017,27/05/2017,28/05/2017
Makem & Clancy - The Next Generation Tour,16/10/2018,16/10/2018
Etsy: Made in Canada,23/09/2017,23/09/2017
Vienna Boys Choir,07/04/2019,07/04/2019
Anna Eyler and Nicolas Lapointe - void loop(),31/05/2018,08/08/2018
Great Big smalls XIV,20/11/2018,30/12/2018
The Fourth Annual Collectors Show,03/10/2017,05/11/2017
Unveiling The Wisdom of The Trees,24/06/2017,24/06/2017
Friends of the Ottawa Public Library Mammoth Book Sale,17/11/2018,17/11/2018
Hertiage Walk - Little Italy,18/06/2018,18/06/2018
Seventh Annual Underground Comedy Railroad,19/02/2018,19/02/2018
Young At Art: Kanata Civic Art Gallery,18/04/2019,05/06/2019
Thank you For Being A Friend,23/10/2018,23/10/2018
Bug Day!,08/09/2018,08/09/2018
Pumpkin Party!,28/10/2018,28/10/2018
Robbie Craig and Adam Young Art Show and Sale,21/07/2018,22/07/2018
The Sounds of Simon and Garfunkel,08/02/2018,10/02/2018
My Furry Valentine Family Event,09/02/2019,09/02/2019
Sky High Magic - The Magic of Majinx!,18/02/2019,18/02/2019
Sing! Chantez! Shiru! Canadian Jewish Music: a 150th Celebration,14/05/2017,14/05/2017
Stars and Seas: Stories and songs from far and away,26/01/2019,26/01/2019
Book Signing With Author Barbara Avon,15/07/2018,15/07/2018
Jess Moskaluke featuring The Washboard Union and JJ Shiplett,23/11/2017,23/11/2017
Sci-Fi & Sundry Sale,07/04/2018,07/04/2018
Writing and Editing for the Web,08/11/2017,08/11/2017
Spectacle du Choeur Pleinchant : De nouvelles couleurs de Noël,16/12/2018,16/12/2018
Aladdin Jr.,08/06/2018,09/06/2018
"Breaking Bread, Breaking Stigma",03/10/2018,03/10/2018
Bands 4 BIN (Bullies in Need),24/03/2018,24/03/2018
Dead Accounts,14/02/2018,03/03/2018
Salute to Vienna New Year's Concert,01/01/2018,01/01/2018
Trans-Canada:  Songs that Move Us,08/05/2017,08/05/2017
Lintu and Hewitt,05/10/2017,05/10/2017
Romeo & Juliet ,12/07/2017,12/07/2017
Capital City Chorus 60th Anniversary Show ,30/09/2017,30/09/2017
Heritage Walk - Vanier,22/06/2018,22/06/2018
Momentum613,24/11/2017,24/11/2017
Angela Hewitt: Bach Odyssey VII,18/10/2018,18/10/2018
Ottawa Riverkeeper Annual Gala,30/05/2018,30/05/2018
Romeo & Juliet,20/07/2017,20/07/2017
"Future States, David in the Dark and mal/aimé",09/06/2017,09/06/2017
Musical Memories,28/04/2018,28/04/2018
Finland: Tytto nimelta Varpu (Little Wing) (EUFF 2017),25/11/2017,25/11/2017
The Canadian Gaming Conference and Expo (CGX),23/06/2018,24/06/2018
Year End Fundraising Concert,02/06/2018,02/06/2018
Sing-a-Long Sound of Music,17/02/2018,17/02/2018
One Ok Rock,21/07/2017,21/07/2017
Uncork,18/10/2018,18/10/2018
So Long Seven,02/02/2018,02/02/2018
Maker of Monsters ,27/07/2018,27/07/2018
Series Dance 10 #29  Natasha Bakht & Monica Shah,23/11/2017,25/11/2017
"The Dant Danners, The Maximum Chill, and Not Really",03/03/2018,03/03/2018
Annual Research Forum in Gatineau Park,17/11/2018,17/11/2018
Nepean Christmas Celebration,15/12/2018,15/12/2018
Itzhak Perlman’s Cinema Serenade,13/09/2017,14/09/2017
Series Dance 10 #30 - Katia Gagné,22/02/2018,24/02/2018
Geeked Out Ottawa's Toy & Collectible Sale,10/12/2017,10/12/2017
Mobius,10/05/2018,22/05/2018
Café Classico - The Voice of the Violin,12/11/2017,12/11/2017
Viva Verdi,05/05/2018,05/05/2018
Mother's Day Cardmaking,11/05/2018,11/05/2018
Harvest Festival,06/10/2018,06/10/2018
 Juvenile Diabetes Research Foundation (JDRF) Walk,10/06/2018,10/06/2018
The Ottawa Bachata Festival,16/02/2018,18/02/2018
Dark Glasses (Cuba) Latin American Film Festival,05/05/2017,05/05/2017
"Red, White and Gold - an Amazing Concert with Chantal Kreviazuk",26/05/2017,26/05/2017
'Pop' Culture,17/06/2018,17/06/2018
Bonsai Art Exhibition 2018,15/09/2018,16/09/2018
Blue Rodeo,23/02/2019,23/02/2019
Dictée Gabrielle Roy,22/03/2018,22/03/2018
Opening: Nathalie Quagliotto - Safety Measures,07/02/2019,07/02/2019
Canada Day at the Bank of Canada Museum: Women on Currency,01/07/2018,01/07/2018
Constructed Identities,23/01/2018,03/06/2018
Capital Funk,18/08/2017,18/08/2017
Ottawa Youth Orchestra Concert,18/11/2018,18/11/2018
Royal Winnipeg Ballet Professional Division’s 2017/18 Audition Tour,03/11/2017,03/11/2017
La Fête FrancOrléans,22/09/2018,22/09/2018
Gregorian Chants for Meditation,14/04/2017,15/04/2017
Strawberry Soirée,28/06/2017,28/06/2017
Ten Cities: The Past is Present,07/06/2018,07/06/2018
Soca Boat,29/06/2018,30/06/2018
"Kye-Yeon Son, A Retrosp​e​ctive Jewellery Exhibition​",05/05/2017,25/05/2017
MELOG Latin Expo 2017,04/06/2017,04/06/2017
PwC MS Bike - Ottawa to Cornwall ,18/08/2018,18/08/2018
JW-Jones Live Album Recording,04/04/2018,05/04/2018
Ham Dinner,14/04/2018,14/04/2018
Break Free 5K Ottawa,17/06/2018,17/06/2018
Eitetsu Hayashi Japanese Taiko Drum Concert,19/08/2018,19/08/2018
Spring into Art Conference and Luncheon,14/04/2018,14/04/2018
Korean Culture Fair 2018,23/06/2018,23/06/2018
TealFest Music Festival and Bazaar,25/08/2018,25/08/2018
Veils and Cocktails,20/10/2018,20/10/2018
Fork in the Road,12/05/2017,13/05/2017
It's Always Sunny In Philidelphia Trivia,02/11/2017,02/11/2017
Snaggle featuring Brownman Ali,06/10/2018,06/10/2018
Thanksgiving Weekend at the Farm,06/10/2018,08/10/2018
Italy: Il giovane favoloso (Leopardi) (EUFF 2017),28/11/2017,28/11/2017
Acres of Terror,28/09/2018,30/10/2018
Jane's Walk Ottawa-Gatineau,05/05/2018,06/05/2018
Gatineau Reptile Expo,11/11/2018,11/11/2018
Night Lights - Art and Light Festival,25/11/2017,26/11/2017
Haunted Horaceville,21/10/2018,21/10/2018
Tea With a Mix of Musicians' Picks,14/04/2019,14/04/2019
Jillian Kerr & friends EP Release Party ,24/06/2017,24/06/2017
Tea on the Verandah,08/07/2017,12/08/2017
Barnyard Break,03/03/2018,17/03/2018
The Sound of the Muse theatrical concert series,11/04/2017,11/04/2017
Herzberg Lecture: Signalling Through DNA,01/11/2017,01/11/2017
Artist Talk: Jennifer Anne Norman - Forest for the Trees ,06/05/2018,06/05/2018
Tea With A Twist of Opera,10/03/2019,10/03/2019
Cobario The New Austrian Sound of Music,26/06/2018,26/06/2018
A Winter's Tail,02/12/2017,02/12/2017
Charity block party,15/09/2018,15/09/2018
Whatever's Cool With Me 20th Anniversary Party with Kalle Mattson,09/08/2017,09/08/2017
TIMEKODE: May Edition,19/05/2017,19/05/2017
A Night at the Races 2017: TROtt's Annual Fundraiser,22/10/2017,22/10/2017
Art in the Dark,14/10/2017,14/10/2017
Lemon Bucket Orkestra,01/11/2017,01/11/2017
Vancouver Symphony Orchestra,25/05/2018,25/05/2018
Romeo & Juliet ,21/07/2017,21/07/2017
Rockcliffe Park Book Fair,03/11/2017,05/11/2017
Kanata Symphony Orchestra Concert,06/05/2017,06/05/2017
Lantern Lit Labryinth Walk,02/06/2018,02/06/2018
Amanda Rheaume,16/02/2019,16/02/2019
Fifteenth National Jewellery Student Competition Exhibition ,25/08/2018,09/09/2018
Sing Out for CHEO,22/02/2019,22/02/2019
4th Annual West End Food Truck Rally,11/08/2018,11/08/2018
Elmwood Old Girls' Art Show,01/12/2017,03/12/2017
Hands on History: Musket Firing,08/07/2018,09/08/2018
Lapland Chamber Orchestra,12/10/2017,12/10/2017
Heritage Walk - Chinatown ,30/06/2018,30/06/2018
Family Gingerbread House Contest,12/12/2018,20/12/2018
Pinhole Portraits Ottawa,30/12/2017,30/12/2017
Nepali Gala 2018,11/05/2018,11/05/2018
Peace on Earth - Songs to Heal Our Planet,15/12/2017,15/12/2017
 Empyrean,17/10/2018,18/11/2018
BIAOV Fall Fundraiser,24/10/2017,24/10/2017
The Royal Canadian Geographic Society Summer Exhibits,29/06/2018,03/09/2018
"A ""Gift of Art"" Fine Art Show and Sale",24/11/2018,25/11/2018
Live Music,09/09/2017,09/09/2017
Le silence d’une tragédie... ou La Mesure Humaine,18/04/2018,08/05/2018
The Real 6,18/08/2017,18/08/2017
Series Dance 10 #27 - Chartier Danse and Jacqueline Ethier,11/05/2017,13/05/2017
Ottawa Park Summit,21/04/2018,21/04/2018
Canada Day at Laurier House National Historic Site,01/07/2018,01/07/2018
Canada Day at the Canada Agriculture and Food Museum,01/07/2017,01/07/2017
Entonces Nosotros (About Us) - Latin American Film Festival,11/05/2017,11/05/2017
