"date_time","year","month","day","time","temp_c","temp_flag","dew_point_temp_c","dew_point_temp_flag","rel_hum_percent","rel_hum_flag","wind_dir_10s_deg","wind_dir_flag","wind_spd_km_h","wind_spd_flag","visibility_km","visibility_flag","stn_press_kpa","stn_press_flag","hmdx","hmdx_flag","wind_chill","wind_chill_flag","weather","station_name","province"
"2010-03-01 00:00","2010","03","01","00:00","-16.7","","-17.9","","90","","31","","4","","","","98.82","","","","-20","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-01 01:00","2010","03","01","01:00","-18.4","","-19.8","","89","","32","","4","","","","98.86","","","","-22","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-01 02:00","2010","03","01","02:00","-19.4","","-20.8","","89","","34","","4","","","","98.88","","","","-23","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-01 03:00","2010","03","01","03:00","-18.1","","-18.9","","93","","3","","4","","","","98.92","","","","-21","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-01 04:00","2010","03","01","04:00","-18.9","","-20.3","","89","","","","0","","","","98.90","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-01 05:00","2010","03","01","05:00","-19.8","","-21.6","","86","","29","","6","","","","98.89","","","","-25","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-01 06:00","2010","03","01","06:00","-20.4","","-22.1","","86","","29","","2","","","","98.92","","","","-22","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-01 07:00","2010","03","01","07:00","-23.1","","-25.2","","83","","","","0","","","","98.92","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-01 08:00","2010","03","01","08:00","-23.5","","-25.6","","83","","","","0","","","","98.95","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-01 09:00","2010","03","01","09:00","-18.0","","-20.7","","79","","","","0","","","","98.95","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-01 10:00","2010","03","01","10:00","-11.6","","-15.2","","75","","35","","4","","","","98.94","","","","-14","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-01 11:00","2010","03","01","11:00","-7.6","","-14.8","","56","","26","","2","","","","98.92","","","","-9","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-01 12:00","2010","03","01","12:00","-5.3","","-15.1","","46","","32","","6","","","","98.89","","","","-8","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-01 13:00","2010","03","01","13:00","-2.8","","-16.7","","33","","29","","4","","","","98.82","","","","-4","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-01 14:00","2010","03","01","14:00","-1.0","","-19.2","","24","","25","","4","","","","98.78","","","","-2","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-01 15:00","2010","03","01","15:00","1.3","","-20.6","","18","","21","","2","","","","98.73","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-01 16:00","2010","03","01","16:00","1.2","","-20.5","","18","","25","","4","","","","98.69","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-01 17:00","2010","03","01","17:00","-0.4","","-19.7","","22","","15","","11","","","","98.60","","","","-4","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-01 18:00","2010","03","01","18:00","-3.6","","-21.3","","24","","17","","9","","","","98.60","","","","-7","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-01 19:00","2010","03","01","19:00","-6.3","","-21.4","","29","","17","","4","","","","98.57","","","","-8","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-01 20:00","2010","03","01","20:00","-9.4","","-21.8","","36","","15","","4","","","","98.51","","","","-12","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-01 21:00","2010","03","01","21:00","-12.2","","-20.8","","49","","15","","6","","","","98.44","","","","-16","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-01 22:00","2010","03","01","22:00","-14.7","","-21.4","","57","","","","0","","","","98.41","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-01 23:00","2010","03","01","23:00","-15.7","","-20.4","","67","","30","","2","","","","98.38","","","","-17","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-02 00:00","2010","03","02","00:00","-16.6","","-19.8","","76","","","","0","","","","98.37","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-02 01:00","2010","03","02","01:00","-17.7","","-21.0","","75","","31","","2","","","","98.35","","","","-19","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-02 02:00","2010","03","02","02:00","-18.0","","-20.7","","79","","28","","2","","","","98.29","","","","-20","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-02 03:00","2010","03","02","03:00","-18.6","","-21.4","","79","","","","0","","","","98.26","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-02 04:00","2010","03","02","04:00","-19.0","","-21.7","","79","","","","0","","","","98.22","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-02 05:00","2010","03","02","05:00","-19.5","","-21.7","","83","","30","","2","","","","98.19","","","","-21","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-02 06:00","2010","03","02","06:00","-20.6","","-22.7","","83","","","","0","","","","98.17","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-02 07:00","2010","03","02","07:00","-21.0","","-23.1","","83","","","","0","","","","98.16","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-02 08:00","2010","03","02","08:00","-18.6","","-21.3","","79","","","","0","","","","98.15","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-02 09:00","2010","03","02","09:00","-15.4","","-20.1","","67","","","","0","","","","98.13","","","","","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-02 10:00","2010","03","02","10:00","-9.6","","-19.0","","46","","14","","2","","","","98.13","","","","-11","","NA","ARMSTRONG (AUT)","ONTARIO"
"2010-03-02 11:00","2010","03","02","11:00","-3.1","","-15.4","","38","","15","","4","","","","98.10","","","","-5","","NA","ARMSTRONG (AUT)","ONTARIO"
